	level_0	schema_context	column	check	check_number	failure_case	index
0	417	Column	Entrez_Gene_Id	dtype('float64')		int64	
1	735	Column	Match_Norm_Validation_Allele1	not_nullable			0
2	736	Column	Match_Norm_Validation_Allele1	not_nullable			1
3	737	Column	Match_Norm_Validation_Allele1	not_nullable			2
4	738	Column	Match_Norm_Validation_Allele1	not_nullable			3
5	739	Column	Match_Norm_Validation_Allele1	not_nullable			4
6	740	Column	Match_Norm_Validation_Allele1	not_nullable			5
7	741	Column	Match_Norm_Validation_Allele1	not_nullable			6
8	742	Column	Match_Norm_Validation_Allele1	not_nullable			7
9	743	Column	Match_Norm_Validation_Allele1	not_nullable			8
10	744	Column	Match_Norm_Validation_Allele1	not_nullable			9
11	745	Column	Match_Norm_Validation_Allele1	not_nullable			10
12	746	Column	Match_Norm_Validation_Allele1	not_nullable			11
13	747	Column	Match_Norm_Validation_Allele1	not_nullable			12
14	748	Column	Match_Norm_Validation_Allele1	not_nullable			13
15	749	Column	Match_Norm_Validation_Allele1	not_nullable			14
16	750	Column	Match_Norm_Validation_Allele1	not_nullable			15
17	751	Column	Match_Norm_Validation_Allele1	not_nullable			16
18	752	Column	Match_Norm_Validation_Allele1	not_nullable			17
19	753	Column	Match_Norm_Validation_Allele1	not_nullable			18
20	754	Column	Match_Norm_Validation_Allele1	not_nullable			19
21	755	Column	Match_Norm_Validation_Allele1	not_nullable			20
22	756	Column	Match_Norm_Validation_Allele1	not_nullable			21
23	757	Column	Match_Norm_Validation_Allele1	not_nullable			22
24	758	Column	Match_Norm_Validation_Allele1	not_nullable			23
25	759	Column	Match_Norm_Validation_Allele1	not_nullable			24
26	760	Column	Match_Norm_Validation_Allele1	not_nullable			25
27	761	Column	Match_Norm_Validation_Allele1	not_nullable			26
28	762	Column	Match_Norm_Validation_Allele1	not_nullable			27
29	763	Column	Match_Norm_Validation_Allele1	not_nullable			28
30	764	Column	Match_Norm_Validation_Allele1	not_nullable			29
31	765	Column	Match_Norm_Validation_Allele1	not_nullable			30
32	766	Column	Match_Norm_Validation_Allele1	not_nullable			31
33	767	Column	Match_Norm_Validation_Allele1	not_nullable			32
34	768	Column	Match_Norm_Validation_Allele1	not_nullable			33
35	769	Column	Match_Norm_Validation_Allele1	not_nullable			34
36	770	Column	Match_Norm_Validation_Allele1	not_nullable			35
37	771	Column	Match_Norm_Validation_Allele1	not_nullable			36
38	772	Column	Match_Norm_Validation_Allele1	not_nullable			37
39	773	Column	Match_Norm_Validation_Allele1	not_nullable			38
40	774	Column	Match_Norm_Validation_Allele1	not_nullable			39
41	775	Column	Match_Norm_Validation_Allele1	not_nullable			40
42	776	Column	Match_Norm_Validation_Allele1	not_nullable			41
43	777	Column	Match_Norm_Validation_Allele1	not_nullable			42
44	778	Column	Match_Norm_Validation_Allele1	not_nullable			43
45	779	Column	Match_Norm_Validation_Allele1	not_nullable			44
46	780	Column	Match_Norm_Validation_Allele1	not_nullable			45
47	781	Column	Match_Norm_Validation_Allele1	not_nullable			46
48	782	Column	Match_Norm_Validation_Allele1	not_nullable			47
49	783	Column	Match_Norm_Validation_Allele1	not_nullable			48
50	784	Column	Match_Norm_Validation_Allele1	not_nullable			49
51	785	Column	Match_Norm_Validation_Allele1	not_nullable			50
52	786	Column	Match_Norm_Validation_Allele1	not_nullable			51
53	787	Column	Match_Norm_Validation_Allele1	not_nullable			52
54	788	Column	Match_Norm_Validation_Allele1	not_nullable			53
55	789	Column	Match_Norm_Validation_Allele1	not_nullable			54
56	790	Column	Match_Norm_Validation_Allele1	not_nullable			55
57	791	Column	Match_Norm_Validation_Allele1	not_nullable			56
58	792	Column	Match_Norm_Validation_Allele1	not_nullable			57
59	793	Column	Match_Norm_Validation_Allele1	not_nullable			58
60	794	Column	Match_Norm_Validation_Allele1	not_nullable			59
61	795	Column	Match_Norm_Validation_Allele1	not_nullable			60
62	796	Column	Match_Norm_Validation_Allele1	not_nullable			61
63	797	Column	Match_Norm_Validation_Allele1	not_nullable			62
64	798	Column	Match_Norm_Validation_Allele1	not_nullable			63
65	799	Column	Match_Norm_Validation_Allele1	not_nullable			64
66	800	Column	Match_Norm_Validation_Allele1	not_nullable			65
67	801	Column	Match_Norm_Validation_Allele1	not_nullable			66
68	802	Column	Match_Norm_Validation_Allele1	not_nullable			67
69	803	Column	Match_Norm_Validation_Allele1	not_nullable			68
70	804	Column	Match_Norm_Validation_Allele1	not_nullable			69
71	805	Column	Match_Norm_Validation_Allele1	not_nullable			70
72	806	Column	Match_Norm_Validation_Allele1	not_nullable			71
73	807	Column	Match_Norm_Validation_Allele1	not_nullable			72
74	808	Column	Match_Norm_Validation_Allele1	not_nullable			73
75	809	Column	Match_Norm_Validation_Allele1	not_nullable			74
76	810	Column	Match_Norm_Validation_Allele1	not_nullable			75
77	811	Column	Match_Norm_Validation_Allele1	not_nullable			76
78	812	Column	Match_Norm_Validation_Allele1	not_nullable			77
79	813	Column	Match_Norm_Validation_Allele1	not_nullable			78
80	814	Column	Match_Norm_Validation_Allele1	not_nullable			79
81	815	Column	Match_Norm_Validation_Allele1	not_nullable			80
82	816	Column	Match_Norm_Validation_Allele1	not_nullable			81
83	817	Column	Match_Norm_Validation_Allele1	not_nullable			82
84	818	Column	Match_Norm_Validation_Allele1	not_nullable			83
85	819	Column	Match_Norm_Validation_Allele1	not_nullable			84
86	820	Column	Match_Norm_Validation_Allele1	not_nullable			85
87	821	Column	Match_Norm_Validation_Allele1	not_nullable			86
88	822	Column	Match_Norm_Validation_Allele1	not_nullable			87
89	823	Column	Match_Norm_Validation_Allele1	not_nullable			88
90	824	Column	Match_Norm_Validation_Allele1	not_nullable			89
91	825	Column	Match_Norm_Validation_Allele1	not_nullable			90
92	826	Column	Match_Norm_Validation_Allele1	not_nullable			91
93	827	Column	Match_Norm_Validation_Allele1	not_nullable			92
94	828	Column	Match_Norm_Validation_Allele1	not_nullable			93
95	829	Column	Match_Norm_Validation_Allele1	not_nullable			94
96	830	Column	Match_Norm_Validation_Allele1	not_nullable			95
97	831	Column	Match_Norm_Validation_Allele1	not_nullable			96
98	832	Column	Match_Norm_Validation_Allele1	not_nullable			97
99	833	Column	Match_Norm_Validation_Allele1	not_nullable			98
100	834	Column	Match_Norm_Validation_Allele1	not_nullable			99
101	835	Column	Match_Norm_Validation_Allele1	not_nullable			100
102	836	Column	Match_Norm_Validation_Allele1	not_nullable			101
103	837	Column	Match_Norm_Validation_Allele1	not_nullable			102
104	838	Column	Match_Norm_Validation_Allele1	not_nullable			103
105	839	Column	Match_Norm_Validation_Allele1	dtype('object')		float64	
